LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub,geo_coords,ideal_proposal_region,starter_proposal_region
WI0015,Augusta PL,Augusta Memorial Public Library,public_library,113,N,Stone,St,,,Augusta,WI,54722,US,Eau Claire,44.6798866,-91.1198356,,IFLS Library System,IFLS,7,,,4,5,4,3,,,5,4,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.6798866, -91.1198356)",ideal_region_01,starter_region_02
WI0016,Baldwin PL,Baldwin Public Library,public_library,400,,Cedar,St,,,Baldwin,WI,54002,US,St. Croix,44.9566458,-92.3683284,,IFLS Library System,IFLS,7,4,5,4,6,,,9,8,4,3,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.9566458, -92.3683284)",ideal_region_01,starter_region_02
WI0017,Balsam Lake PL,Balsam Lake Public Library,public_library,404,,Main,St,,,Balsam Lake,WI,54810,US,Polk,45.4497899,-92.4525581,,IFLS Library System,IFLS,7,,,2,5,2,1,,,4,4,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.4497899, -92.4525581)",ideal_region_01,starter_region_02
WI0020,Barron PL,Barron Public Library,public_library,10,N,3rd,St,,,Barron,WI,54812,US,Barron,45.4017939,-91.8536364,,IFLS Library System,IFLS,7,4,7,3,5,6,3,,,7,5,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.4017939, -91.8536364)",ideal_region_01,starter_region_02
WI0377,Bloomer PL,G.E. Bleskacek Family Memorial Library,public_library,1519,,17th,Ave,,,Bloomer,WI,54724,US,Chippewa,45.0999186,-91.4930136,,IFLS Library System,IFLS,7,2,5,,,7,7,,,8,5,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.0999186, -91.4930136)",ideal_region_01,starter_region_02
WI0038,Boyceville PL,Boyceville Public Library,public_library,903,,Main,St,,,Boyceville,WI,54725,US,Dunn,45.0448021,-92.0394073,,IFLS Library System,IFLS,7,,,4,5,,,5,5,2,2,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.0448021, -92.0394073)",ideal_region_01,starter_region_02
WI0366,Bruce PL,Bruce Area Library,public_library,102,W,River,Ave,,,Bruce,WI,54819,US,Rusk,45.4568526,-91.2738876,,IFLS Library System,IFLS,7,2,2,,,2,3,,,3,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.4568526, -91.2738876)",ideal_region_01,starter_region_02
WI0378,Cadott PL,Cadott Community Library,public_library,331,N,Main,St,,,Cadott,WI,54727,US,Chippewa,44.9486268,-91.1508592,,IFLS Library System,IFLS,7,2,1,,,4,4,,,4,4,,,3,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.9486268, -91.1508592)",ideal_region_01,starter_region_02
WI0051,Cameron PL,Cameron Public Library,public_library,506,,Main,St,,,Cameron,WI,54822,US,Barron,45.4083082,-91.74143339999999,,IFLS Library System,IFLS,7,2,4,,,5,4,,,7,5,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.4083082, -91.74143339999999)",ideal_region_01,starter_region_02
WI0056,Centuria PL,Centuria Public Library,public_library,409,,4th,St,,,Centuria,WI,54824,US,Polk,45.4509643,-92.5545755,,IFLS Library System,IFLS,7,,,1,2,,,2,1,1,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.4509643, -92.5545755)",ideal_region_01,starter_region_02
WI0057,Chetek PL,Calhoun Memorial Library,public_library,321,,Moore,St,,,Chetek,WI,54728,US,Barron,45.3151275,-91.6534908,,IFLS Library System,IFLS,7,2,3,,,5,4,,,6,4,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.3151275, -91.6534908)",ideal_region_01,starter_region_02
WI0059,Chippewa Falls PL,Chippewa Falls Public Library,public_library,105,W,Central,St,,,Chippewa Falls,WI,54729,US,Chippewa,44.9351716,-91.3937363,,IFLS Library System,IFLS,7,11,14,12,16,15,10,15,12,12,10,,,13,13,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.9351716, -91.3937363)",ideal_region_01,starter_region_02
WIGOV130,Chippewa Valley CI,Chippewa Valley Correctional Treatment Facility Library,wi_state_gov,2909,E,Park,Ave,,,Chippewa Falls,WI,54729,US,Chippewa,44.9288379,-91.35001369999999,,IFLS Library System,IFLS,7,2,2,,,,,,,,,,,2,2,TRUE,FALSE,TRUE,TRUE,TRUE,,,"(44.9288379, -91.35001369999999)",ideal_region_01,starter_region_02
WI0060,Clear Lake PL,Clear Lake Public Library,public_library,350,,Fourth,Ave,,,Clear Lake,WI,54005,US,Polk,45.25005729999999,-92.27076770000001,,IFLS Library System,IFLS,7,2,3,,,5,5,,,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.25005729999999, -92.27076770000001)",ideal_region_01,starter_region_02
WI0065,Colfax PL,Colfax Public Library,public_library,613,,Main,St,,,Colfax,WI,54730,US,Dunn,44.9993063,-91.72769,,IFLS Library System,IFLS,7,2,3,,,6,6,,,7,6,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.9993063, -91.72769)",ideal_region_01,starter_region_02
