LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub
WI0094,Ellsworth PL,Ellsworth Public Library,public_library,312,W,Main,St,,,Ellsworth,WI,54011,US,Pierce,,,,IFLS Library System,IFLS,7,7,9,5,4,10,6,7,4,7,4,,,6,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0096,Elmwood PL,Elmwood Public Library,public_library,111,N,Main,St,,,Elmwood,WI,54740,US,Pierce,,,,IFLS Library System,IFLS,7,,,3,4,,,4,3,1,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0100,Fairchild PL,Fairchild Public Library,public_library,208,,Huron,St,,,Fairchild,WI,54741,US,Eau Claire,,,,IFLS Library System,IFLS,7,,,,,,,,,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0101,Fall Creek PL,Fall Creek Public Library,public_library,122,E,Lincoln,Ave,,,Fall Creek,WI,54742,US,Eau Claire,,,,IFLS Library System,IFLS,7,,,7,6,3,2,,,5,5,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0108,Frederic PL,Frederic Public Library,public_library,127,,Oak,St,W,,Frederic,WI,54837,US,Polk,,,,IFLS Library System,IFLS,7,2,2,3,3,,,6,3,4,2,,,3,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0117,Glenwood City PL,Glenwood City Public Library,public_library,127,,Pine,St,,,Glenwood City,WI,54013,US,St. Croix,,,,IFLS Library System,IFLS,7,,,2,3,4,2,,,3,3,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0127,Hammond PL,Hammond Community Library,public_library,850,,Davis,St,,,Hammond,WI,54015,US,St. Croix,,,,IFLS Library System,IFLS,7,,,10,11,,,16,10,5,11,,,11,11,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0387,Hawkins PL,Hawkins Area Library,public_library,709,,Main,St,,,Hawkins,WI,54530,US,Rusk,,,,IFLS Library System,IFLS,7,,,2,1,,,,,,,,,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0137,Hudson PL,Hudson Area Joint Library,public_library,700,,1st,St,,,Hudson,WI,54016,US,St. Croix,,,,IFLS Library System,IFLS,7,18,17,14,19,20,14,17,10,16,14,,,15,17,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI1300,IFLS,IFLS Library System,library_system,1538,,Truax,Blvd,,,Eau Claire,WI,54703,US,Eau Claire,,,,IFLS Library System,IFLS,7,3,3,2,2,,,5,4,2,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
WI0160,Ladysmith PL,Rusk County Community Library,public_library,418,,Corbett,Ave,W,,Ladysmith,WI,54848,US,Rusk,,,,IFLS Library System,IFLS,7,5,5,4,7,7,6,6,3,6,3,,,5,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0175,Luck PL,Luck Public Library,public_library,301,S,Main,St,,,Luck,WI,54853,US,Polk,,,,IFLS Library System,IFLS,7,3,6,3,6,,,7,3,3,1,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0192-003,MenPL - Elk Mound Branch,Elk Mound Branch,public_library,101,E,Menomonie,St,,,Elk Mound,WI,54739,US,Dunn,,,,IFLS Library System,IFLS,7,3,1,1,2,2,2,1,3,,,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0192,MenPL - Menomonie PL,Menomonie Public Library,public_library,600,,Wolske Bay,Rd,,,Menomonie,WI,54751,US,Dunn,,,,IFLS Library System,IFLS,7,15,19,13,18,21,11,17,16,15,13,,,16,17,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0197,Milltown PL,Milltown Public Library,public_library,61,,Main,St,W,,Milltown,WI,54858,US,Polk,,,,IFLS Library System,IFLS,7,,,3,5,,,4,4,2,1,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0223,New Richmond PL,Carleton A. Friday Memorial Library,public_library,155,E,First,St,,,New Richmond,WI,54017,US,St. Croix,,,,IFLS Library System,IFLS,7,15,17,12,12,17,9,18,9,17,16,,,13,16,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0232,Ogema PL,Ogema Public Library,public_library,W5005,,WI 86,,,,Ogema,WI,54459,US,Price,,,,IFLS Library System,IFLS,7,,,3,2,2,1,1,1,,,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0238,Osceola PL,Wilberg Memorial Public Library,public_library,310,,Chieftan,St,,,Osceola,WI,54020,US,Polk,,,,IFLS Library System,IFLS,7,,,10,12,6,6,6,6,7,6,,,8,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0246,Park Falls PL,Park Falls Public Library,public_library,121,N,Fourth,Ave,,,Park Falls,WI,54552,US,Price,,,,IFLS Library System,IFLS,7,4,4,4,4,4,3,5,4,4,3,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0247,Pepin PL,Pepin Public Library,public_library,510,,2nd,St,,,Pepin,WI,54759,US,Pepin,,,,IFLS Library System,IFLS,7,,,2,2,,,2,4,1,1,,,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0250,Phillips PL,Phillips Public Library,public_library,286,,Cherry,St,,,Phillips,WI,54555,US,Price,,,,IFLS Library System,IFLS,7,,,6,10,,,7,8,4,4,,,8,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0256,Plum City PL,Plum City Public Library,public_library,611,,Main,St,,,Plum City,WI,54761,US,Pierce,,,,IFLS Library System,IFLS,7,,,2,4,,,4,3,2,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0265,Prescott PL,Prescott Public Library,public_library,800,,Borner,St,N,,Prescott,WI,54021,US,Pierce,,,,IFLS Library System,IFLS,7,4,6,2,5,4,4,,,7,5,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0275,Rice Lake PL,Rice Lake Public Library,public_library,2,E,Marshall,St,,,Rice Lake,WI,54868,US,Barron,,,,IFLS Library System,IFLS,7,8,14,8,6,15,9,13,8,10,8,,,9,11,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,
WI0279,River Falls PL,River Falls Public Library,public_library,140,,Union,St,,,River Falls,WI,54022,US,Pierce,,,,IFLS Library System,IFLS,7,17,21,14,16,17,13,13,10,15,14,,,15,16,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0280,Roberts PL,Hazel Mackin Community Library,public_library,311,W,Warren,St,,,Roberts,WI,54023,US,St. Croix,,,,IFLS Library System,IFLS,7,,,6,7,,,7,5,3,2,,,5,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0402,Sand Creek PL,Clarella Hackett Johnson Public Library,public_library,E9311,,CO RD I,,,,Sand Creek,WI,54765,US,Dunn,,,,IFLS Library System,IFLS,7,1,1,,,2,1,,,2,1,,,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0300,Somerset PL,Somerset Public Library,public_library,208,,Hud,St,,,Somerset,WI,54025,US,St. Croix,,,,IFLS Library System,IFLS,7,4,6,3,5,6,4,7,3,5,2,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
